recurring dream --,waking up on a train,in a strange town,
winter dog walk --,my bones are screaming,and only I can hear it,
dirty snow --,your email,in my spam folder,
snow flurries --,a red squirrel,that didn't make it,
waking from a nightmare --,the drip drip drip,of an ice dam,
wolf moon --,the faraway look,in my dog's eyes,
departure lounge --,is that our pilot,stifling a yawn?,
The Ides of March --,whispers,in a nearby cubicle,
after the rain,a mist,of mosquitoes,
Daylight Savings Time --,a child's balloon,above the clouds,
summer in Brooklyn --,I water the plants,on the fire escape,
moonless night --,to have died,so young...,
out of breath --,full moon,obscured by clouds,
spring snow --,all the projects,I've never finished,
after the rain,a thoughtful glance,at my watch,
heavy sigh --,the dog snoring,on my pillow,
snow turns to rain --,is my hair,really that gray?,
regrets --,an approaching,snowplow,
snowmelt --,the dog sniffs,everything,
black ice --,alone on the train,of my dreams,
as if I had to ask,the peppers in this hot sauce,are &quot;Rasta peppers&quot;,
dreamless sleep --,a towering pile,of dirty snow,
ex-pat cover band --,do they know that *Guantanamera*,is a protest song?,
New Year's Day --,stroking the hair,of the dog that bit me,
writer's block --,fresh footprints,in the snow,
my Dublin daydream...,&quot;yes I said yes I will Yes&quot;,
winter thaw --,the sway,of her hips,
fresh jambalaya --,when I close my eyes,the snow is gone,
watching the radar,this beer,isn't strong enough,
moonless night --,I never know,what to say,
fresh snow --,my Marine son signs up,for another four years,
dirty snow --,my uninsured friend,in search of a hospital,
dirty snow --,news of a friend,in the ICU,
stuck in a snow bank,my next-door neighbor's,high-priced convertible,
winter twilight --,a ladybug,lands on the wood stove,

snow in the forecast,I check on the weather,somewhere else,
snow in the forecast,snow on the ground,a murder of crows,
winter fog --,if only I could be,as still,
covered with snow,it's new again --,the rusty caboose,
rumors of deployment --,a log pops,in the fire,
bitter cold --,a dream,about the ex,
tropical rain --,the mourning doves,silent,
the old pond --,bulldozed,to make way,for condos,
in the waiting room --,a Christmas tree,without lights,
where are we?,Elvis plays &quot;As Time Goes By&quot;,on the steel drum,
nightmare,where my city,used to be,
crowded elevator --,an epic battle,of perfumes,
in the waiting room,a disheveled woman,reads Glamour magazine,
wake-up call --,the taxi toots its horn,at the top of the hill,
holidays over,the brook slows,to a trickle,
taxiing to the runway,the pilot skillfully avoids,the baby goats,
winter thaw --,a strong Barleywine,at room temperature,
dirty snow --,your hometown could be,the next big thing,
the mighty lion,safe and sound,under baby's blanket,
winter clouds --,the dog,goes back to bed,
my new favorite song --,snowmelt gurgling,in the gutters,
Year of the Rabbit --,an extra skip,in my step,
staring at,a blank canvas --,winter clouds,
writer's block --,the ice dam,slows to a trickle,
island cuisine --,I Google the ingredients,of last night's dinner,
beachside bar --,drinking,it all in,
State of the Union --,the dog herds me,toward the door,
tattooed to her wrist,the perfect rose,
deep snow --,I don't remember,her name,
spring break --,how come I,was never that young?,
fighting the cold --,a Hawaiian shirt,beneath my parka,
snow turns to rain --,25 days,until pitchers and catchers report,
snow in the forecast --,a bit more gray,in the dog's muzzle,
winter sunshine --,the pause between sips,of a barleywine,
I hear them,in my dreams...,harbor bells,
snowbound --,the crows cry,&quot;we're here! we're here!&quot;,
sunset,a snow angel,full of shadows,
winter wind --,the muted rumble,of the clothes dryer,
State of the Union --,not enough blanket,for the two of us,
too tired to sleep,too tired to stay awake,winter silence,
black ice --,a skip,in my favorite record,
snowmelt --,can the next storm,be far away?,
spring snow --,the dog doesn't,understand,
windless night --,a fish swims,through the moon,
Super Bowl Sunday --,the dog snores,on the couch,
winter angst --,the crunch of road salt,beneath my feet,
overcast,nobody cares,that I'm not clean-shaven,
tropical night --,somewhere in the distance,a howling dog,
scent of roses...,when you kiss me,the snow is gone,
winter rain --,the glow of my vacation,washed away,
Ground Hog Day --,my Kingdom,for a shadow,
wolf moon --,the dog twitches,in her sleep,
sirens --,a child's bicycle,in the snow bank,
winter fog --,the absence,of crickets,
at long last Friday,a red-tailed hawk,rides the breeze,
paper clip --,barely able,to hold it together,
storm approaching,the boss wants,a word with me,
how quickly,it fades...,winter sun,
dead of winter --,a squirrel,at the hummingbird feeder,
just visiting --,a crowd of bobble-heads,watch me pee,
State of the Union --,she finishes,my sentence,
winter twilight --,I don't remember ever,being that young,
spring cleaning --,a strand of hair,from an ex-girlfriend,
ice dam --,I lose another game,of solitaire,
tropical night --,the low rider's,throbbing bass,
bitter cold,news that my father,is out of surgery,
crowded subway car --,I try to match the face,to the patchouli oil,
minus five --,another bad coffee please,
Lower Bay --,a man named Messenger,brings me a beer,
a moment of silence --,our lives,drifting on a reed,
tropical sunset --,my thoughts,an infinite horizon,
about hot sauce,the taxi driver says,&quot;nothing tastes right without it&quot;,
a dozen roses --,I love you - and not only because,you're not snow,
the might lion,safe and sound,under baby's blanket,
winter fog --,the flag,hangs limply,
waiting for her call,I stare,at thunderclouds,
snow turns to rain --,a familiar name,in the obituary,
snow turns to rain --,the afterglow,of the plow lights,
snow turns to rain --,words,I can't take back,
snow squall --,the crows are almost as alarmed,as I am,
Christmas cactus --,because I'm tired,of writing haiku,about snow,
our last full day --,what I wouldn't trade,for this trade wind,
winter thaw --,taking down,the Christmas lights,
winter dusk --,taking down,the Christmas lights,
winter wind --,a secret I wish,I never knew,
restless night,the spaces,between the silence,
long weekend over,the morning much darker,than I'd remembered,
snow on the way,my shot glass,runneth over,
first night back,I pretend the dog's snoring,is the ocean,
snow emergency --,we've finished,the last beer,
dirty snow --,a secret,I wish she'd kept,
bitter cold,I cut myself shaving,
clean-shaven,and ready for another day,of pan-handling,
the first day of fall --,filling my lungs,with the fragrance of coffee,
interrupting,another nightmare,a passing train,
third of July --,in my favorite junkyard,I weep,
snow-covered pond,the memory,of your reflection,
autumn in Cambridge --,the punker's green hair,dyed orange,
ignoring,the DON'T WALK sign,her miniskirt,
lazy July morning --,the steam from my coffee,has no place to go,
bowl of popcorn ready,I watch,an exercise video,
small town tavern --,all of these strangers,know my name,
turning forty,my Chevy Van engine,keeps on running,
leaving nothing to the imagination,does Victoria have a Secret? ;^),
no place to go this rainy morning -,your warm soft body next to mine,
even indoors,this cold cold wind,makes me shiver,
South Station,clutching a hot cappuccino,the homeless man sleeps,
waiting for the train,the street musician,sings out of tune,
baseball season ends --,a pile of golden leaves,scattered by the wind,
early for the interview,I watch the escalator,ascending,
in a Dallas suburb,a midnight stroll,with lawn sprinklers,
enjoying,a midnight swim,the moon and I,
staring at the ceiling,nightingales become larks,
above the clouds,I ignore my watch,and go to sleep,
on the perfect beach day,I stay home,surfing the web,
her hardened features,no softer,after three beers,
waiting patiently,outside the kitchen door,a three-legged dog,
suburban New England,the white vinyl siding,of an old wooden church,
resting my tired feet,still the need to wander,
morning mist rises,from my third cup,of coffee,
walking to your house,a procession,of wild flowers,
at twilight,I can almost touch,your shadow,
Rockefeller Center:,skating,through rush hour traffic,
late for dinner,I stare at the clouds,waiting for rain,
at the end of the bar,a cemetery,of bad pick-up lines,
piercing the diesel hum,the conductor's whistle,
illuminating,my empty bed,distant thunder,
one hour before landing,the fragrance,of instant coffee,
five years later,the neighborhood tomboy,is a woman,
awakened by thunder,she kisses me,
10th and Hennepin,basking,in the billboard shade,
Father's Day --,a hurried email,from my daughter,
the first day of spring,on the platform she shivers,in her mini-skirt,
spanish mackerel,leaping out of the water --,your warm summer smile,
between solos,the trumpet player wipes the spittle,from his mouthpiece,
alone at the supermarket,checking out,the check-out girl,
sweet sixteen,my daughter still smiles,in her sleep,
the street musician,stops playing,my favorite song,
a visit from my children,canceled,cold spring rain,
rain mixed with snow,remembering,my daughter's tears,
sitting in the sun,an old dog,sleeps in my shade,
crack of the bat,seconds later a sneakered foot,pushes aside the ivy,
weeping willow,slow dancing,in the wind,
I am the monster,giving candy to children,with beer on his breath,
still clinging,December leaves,
October commute --,racing the darkness,home                                  ,
Manhattan Beach --,closing my eyes,the waves become the subway,
sitting alone,she clutches a cell phone,and a warm beer,
gourmet coffee shop,how patiently,the homeless man waits,
leaping,between skyscrapers,the moon,
more bitter than this coffee ,the indigo sky,
New Orleans funeral --,the wailing clarinet,
far from my children,Christmas rain,
my autobiography:,a crumpled lottery ticket,
Placencia morning --,waiting for the hummingbird,we quietly make love,
between hiccups I reply:,&quot;no, I don't drink too much&quot;,
last call --,which drunken businessman,will take her home tonight?,
shivering,I patiently sip,a winter warmer,
my taxes are paid -,now it can snow again,
unable to sleep,unable to stay awake,the rhythm of the train,
the still pond --,tossing a stone,I shatter the moon,
the long ride home --,I mourn the loss,of my favorite billboard,
cool August morning --,snuggling,in air conditioning,
stepping from the train,can't wait,to light that cigarette,
in a faceless suburb,I see you,everywhere,
a gentle finger,reveals,my still unread mail,
behind every,rain-soaked window --,my four year-old son's face,
South Station Monday,sipping my morning coffee,I smell only flowers,
afternoon sunlight --,the brightness,of this blank page,
warm spring day --,children building castles,with road salt,
first day of autumn,a six-month old heating bill,in my jacket pocket,
unlike their author,her love letters follow me,to my new home,
december night --,bare feet,on bathroom tile,
around every corner,the memory of your face,
Wrigley Field:,pigeons in the bleachers,cheer the swirling snow,
en route to Miami,she sleepily calls me,by another name,
cool summer night --,even the locusts,are sleeping,
laundry day,sorting,unmatched socks,
winter solstice,sharing breakfast,with sunrise,
combing my hair,on a cool autumn day,-- early frost,
November night --,the wind steals leaves,from the trees,
winter morning,watching my breath rise,and disappear,
horseshoe dilemma:,to toss a perfect ringer,without spilling my beer,
this dark ale,the color,of my daughter's eyes,
by my second cup of coffee,I wish I was still in bed,
the Dow recovers,but no one gives her,spare change,
passing train ,overtaken ,by the tea kettle,
a Northerly wind,my sons and I,stack firewood,
while no one is watching,I build a snowman,with a stiff back,
walking past the rescue mission,I clutch a stack,of unpaid bills,
waiting for the train,wind-battered leaves,plastered to the fence,
working late again,the amber twilight,fades to black,
our wedding day --,a perfect bouquet,of wild flowers,
now that she's gone,this tiny hotel room,is suddenly much larger,
reading the personals --,mocking,with pen in hand,
melting snow,our words,
March thaw,sweat drips,from my beer mug,
unable to sleep,I almost listen,to the lounge piano,
also waiting,for the last train,a hungry pigeon,
crowded subway car,the smell of her hair,
asleep on the train,the Dow falls,from her lap,
another cold morning,with no idea,where I left my hat,
winter thunder,the flashing lights,of the subway,
ginko walk --,stealing a haiku moment,and a kiss,
the Water Tower --,an urban fortress,guarded by pigeons,
a crowd of pigeons,feeds from the hand,of a homeless man      ,
hungry deer,watching me,watching them,
interrupting,my empty stare,the hiss of bus brakes,
waiting for the interview,I count raindrops,
asleep on the train,the old woman,finally smiles,
darker than Guinness --,your intoxicating eyes,
a break in the clouds,the commuter rail,enters the suburbs,
waiting for the moving van,I see only clouds,
fighting sleep ,the endless hallway ,growing steeper,
Veteran's Day --,a tiny paper flag,pinned to the beggar's lapel,
first day of October --,shivering,in a sidewalk cafe,
sitting by the window,the breeze shifts direction,from pizza to Chow Mein,
disposing of a dead mouse,the basement door,unexpectedly locks,
suburban terrorism:,a blue jay stalks,the finch feeder,
in their Sunday best,a pack of children,savages their Big Macs,
my first day back,beach sand from my shoes,mixes with frost,
brittle brown leaves,can barely hold,the rain,
silencing the crows,morning thunder,
smoke from a cigarette,the serpent,ascending,
Downtown Crossing,the trashman,sings,
pale purple sky,tonight,I drink alone,
downtown Boston pub --,Yankee baseball cap on the floor,unclaimed,
inconsiderate commuter --,the man on the platform,is taking too long to die,
lost in Chinatown,with no roads,leading west,
indefinite delay,the unexpected parting,of your lips,
after the ice storm,the fire escape,ignited by sunlight,
extra-inning victory --,an unopened bottle,of my favorite beer,
my favorite perfume,the wind,in her hair,
6:30 a.m.,the cat is already hunting,for shade,
just when I thought,it would never stop raining,she smiles at me,
&quot;Wall Street Rallies&quot;,reads the headline,in the trash,
windless night --,my sweating pillow,collapses,
a break in the heat --,I leave a one dollar tip,for the coffee shop,
October night --,not a cloud in the sky,except my breath,
recognizing me,the beggar stuffs his hands,into his pockets,
freezing rain --,the numbness,of bare trees,
hot night,neither side of the pillow,seems cool,
I hear the ocean,in the brittle branches,of the evergreens,
leaning from the window ,she bathes the midnight sky ,with her golden hair,
still embracing,this old sweater,a strand of her hair,
after eating from my hand,this sparrow,can only go free,
sunday morning --,street sweepers in rhythm,with the congas,
bound with wire,to a flatbed truck,Christmas trees,
whitewashing,all but the brightest stars,full moon,
closing time --,three beers later,the cold rain,
fluffing my pillow,I reach to pet the cat,who isn't there,
casual day --,the softness,of her faded jeans,
my daughter's birthday,I daydream,of bubblegum perfume,
empty subway station,the smell of rain,
three beers later,the music turns,to &quot;Purple Haze&quot;,
lunar eclipse --,long shadows,reappear,
sparrows ,erupt from the trees ,the sound of thunder,
longest day ,the sun ,too lazy to set,
a lonely night --,do my children see,this same blurred moon?,
asleep on the train,another pale grey sky,
Monday morning --,from inside the train,I hear locusts,
windless Chicago day,still the shadows,bring a chill,
Redondo Beach,SPF 30,and gold toenail polish,
the stranger,in the ambulance:,my neighbor,
purring softly,my cat is so in love,with my dinner,
Brookline Hills,standing tall and proud,an old woman and her cart,
mid-winter chill,her long and slender legs,are wearing pants,
early thaw --,another haiku,flows into the street,
stepping over,the USS Enterprise,to kiss my son goodnight,
darkening sky --,a stack of unpaid bills,still casts a shadow,
Mass Pike traffic,driving into sunrise,
midnight,looking up from the trash,two tiny full moons,
warm autumn day --,searching through a pile of leaves ,for the baseball,
lightning,in the pale sunshine --,your long, long hair,
sleepless night ,the wind in the palms ,is a passing train,
rough day at work - ,I rescue a fly ,from a spider web,
Christmas shopping,my glazed eyes,reflecting neon,
winter thaw --,cat tails,bow to the sun,
rush hour traffic,wading through walls,of second-hand smoke,
how smooth --,this home-brewed ale,on your skin,
flying over Cleveland,the burnt plastic smell,of airplane food,
home sick in bed,the cat,still wants to be fed,
the big thaw,my car roof peaks,over a snowdrift,
first day of spring,under the melting snow,my unopened letter,
October sunset --,the deepening amber,of this ale,
reading Sartre,I realize,there is no exit...,
how brightly they shine,under the spotlights,water lilies,
your angry words --,wind rattling the shutters,all night long,
decorating,the winter garden --,your long dark hair,
my brother's wedding day,fast-moving clouds,surround the sun,
securing the last boat,a solitary gull,flies away,
first snow --,halfway to the mailbox,in bare feet,
this butterfly ,cannot be staring at me - ,why do I stare back?,
finally ,a breeze ,before the storm,
the overcast sky --,a mirror,of this blank page,
watching the Weather Channel,I smile,at your forecast,
fresh out of salsa --,the Mexican cook kisses,his fair-haired girlfriend,
far from my grasp,is this the summer's,last butterfly?,
long-distance call ,to my father ,discussing the weather,
as the Market tumbles,I throw a penny,into the fountain,
rosemary blossoms --,whose footprints,are on the greenhouse roof?,
at the flower shop,the irises, your eyes,in and out of focus,
where we last kissed --,mountains of snow,melting into sand,
spotting the deer ,a butterfly perches ,on my rifle barrel,
Income Tax Day,unable to kill,the hungry mosquito,
caught,by a low tree branch,-- the baseball cap,
on either side,of the windshield,December fog,
awakened,by the silence,of the telephone,
the fragrance,of your love letters,burning in the fire,
October 15th --,at five o'clock,I race the darkness home,
March rain --,a puddle encircles,the brownish gray snow,
frayed but neatly printed,his sign reads:,I am homeless -- please help,
hours before finals,I wake up,on page one,
lost in Chinatown,a stray dog drinks,from a puddle,
Colorado Springs --,facing the mountains,I catch my breath,
high school reunion --,unrecognized,I order another beer,
South Station treasure,the bottle at the bottom,of the trash can,
surfing the web,for snow advisories,
restless night,the green eyes,of the cat,
waiting room coffee --,more bitter than usual,
high noon --,a one-legged egret,hops into the shade,
sleep in your eyes,I daydream you,into my bed,
cool summer night --,silent crickets,
the sweet smell,of your love letters,burning in the fire,
waiting for the bus,forsythia blossoms,fall,
summer moonlight,reflected in the sweat,of our bodies,
thickening clouds,a steady downpour,of beer,
on the way to work,the december sun,finally rises,
Thanksgiving weekend,she updates her shopping list,between T stops,
even the pigeons,seem to know,the last bus is gone,
twelve hundred miles away --,my son's baseball game,
last day of September --,a cool morning breeze,tests the leaves,
overcast morning,the dew clinging,to golden leaves,
stood up by my date,I pour curdled milk,into my coffee,
all of my words,lost,in this rain,
dark sunglasses --,can she see me,staring at her?,
sudden downpour,washing you away,from my dream,
a break in the drizzle,and then I remember,your voice,
California night --,feeling,the absence of trains,
gentleman's club --,the Senate hearings,under strobe lights,
hanging limply,from a piece of driftwood,the American flag,
above the sleeping,construction cranes,a full moon,
in the recovery room,one rubber glove reaching,from the box,
straightening my tie,I step over the man,asleep on the sidewalk,
late to work --,my coffee mug,right where I left it,
St. Patrick's Day,a sea of green clothing,and red noses,
New England morning --,the sound,of fog,
after the rain --,puddles filled,with wind-blown sky,
urban rainbow,swirling,in a puddle,
starless night --,my son's,long-distance tears,
Hermosa Beach --,ducks and surfers,ride the waves,
my weary feet,reflected,in spilled beer,
waiting for the train,a flock of pigeons,and me,
watching me drink,the bartender,paces,
asleep on the train,clutching,the invisible you,
winter moonlight --,the shadows seem,so long tonight,
these words,lost,in an April sky,
on the dance floor,an ex-girlfriend,with another loser,
Goodwill bin --,wedding band,priced for quick sale,
sudden cold spell,the birdsong outside my window,stops,
eight years shy of 45,grey hairs,outnumber the black,
October afternoon --,carrying home,my winter jacket,
South Bay afternoon --,hot sun, cold beer,and a longing for home,
empty page,annotated,with beer,
Manhattan Beach,perusing the want ads,between volleyball games,
alone at the bar,a deep blue woman,I will never meet,
July afternoon --,the smell of lightning,
hot day at the beach --,the smell of burning sausage,
rushing to work,no time,to kill a fly,
first day of spring,shivering in my shirt sleeves,at the train station,
somewhere,beyond this rain,the moon,
football Sunday --,the uniformity,of unraked leaves,
rushing to the limo,in her prom dress,a torn corsage,
first frost,and still no desire,to rake the leaves,
moonless night --,a lone seagull,with nowhere to go,
lingering for a kiss,the train leaves,right on time,
empty ferris wheel --,daydreams,of kissing lovers,
Boston skyscraper --,a beautiful view,of a rooftop sunbather,
Boston haze --,the silence,of skyscrapers,
chased by a wild dog,I forget exactly why,I am running,
yes I know I'll never find her,at the bottom of this beer,
dining al fresco,the juxtaposition,of blues and protest music,
chimney smoke,fades into,the full moon,
outside Davis Square,a street musician is arrested,for playing the blues,
almost time to leave ,my son clings to me ,like the cold spring rain,
New Year's Day,the snow thaws,unnoticed,
Memorial Day,awakened,by the passing parade,
I love the taste,of your lips,speaking my name...,
between,slices of toast,a kiss on the cheek,
off-night at the pub,the barmaid,beautifully bored,
her smile ,like the letter she clutches ,isn't mine.,
thrift store countertop --,several engagement rings,only slightly used,
midnight -,the rise and fall,of flannel sheets,
brittle and dry,lilacs,from your garden,
November in Boston,the streets are lined,with skyscraper shadows,
crowded coffee house --,burning my tongue,I remember you,
Blue Moon Cafe,counting the stars,on the ceiling,
East Village brewpub --,huevos rancheros,and a hefe-weizen,
after the thaw,the soft white belly,of a dead squirrel,
reading today's headline,I stifle a yawn,
Natick Center,answering her cell phone,she smiles at me,
where we said goodbye,the Water Tower,now frozen,
kissing,on the merry-go-round,the city blurs,
awakened by thunder,my little one,flashes the lights,
in the shower,your perfume,slowly disappears,
Morphine,how deep and hollow,the echo of your voice,
late October night,the willow branches also,want to touch the moon,
dollar beer Wednesday,wave after wave,of liquid noise,
overcast sky --,soaring over empty sands,the seagull's cry,
quarter moon --,straining,to see your eyes,
upside down,her reflection,staring at the moon,
slow dance ,of the setting moon: ,another sleepless night,
morning haze,dissolves,under your fingertips,
the Somerville skyline,partially obscured,by stacks of unpaid bills,
under two feet of snow,our footprints,
closing time --,the dance,of the streetlights,
waiting for the train,time and shadows,slip away,
dinner with an old friend,a welcome respite,from the cold,
silent steps,through darkness,unraked leaves,
first snow flurry,even the blue jays,are silent,
after ten years he says,he can no longer feel,the ring,
military jet,carves a white scar,in the sky,
our old house --,a different kind,of cold draft,
the last night of summer --,even the cat can't sleep,
all of these birds,pretending to know nothing,about last night's rain,
mockingbird sings ,to the rhythm ,of the freeway,
long meeting: ,so tired ,of doodling,
my fingers,clutching the air,where your hair once was,
October morning,the alarm clock,is increasingly darker,
outside Penn Station,a blind beggar,counts his change,
late July night,a blues guitar,sweltering,
following,the tattoo,up the back of her leg,
Columbus Circle:,a swirl of brittle leaves,homeless,
first raindrops --,the fragrance,of hot cement,
approaching storm --,the thunder,of frightened geese,
Veteran's Day rain --,an old man holds an umbrella,above the monument,
mid-March blizzard,a snow plow,mired in mud,
the heat wave continues,she no longer adjusts,her falling shoulder strap,
holiday approaching,I ride into work,with my shades on,
long nights at the bar,drinking cold ale,to stay warm,
smiling,between suitcases,a cabbage patch doll,
summer night ,the amber sky ,still shimmering,
one week before Christmas,the frozen stares,of last-minute shoppers,
behind the sheer curtain,her silhouette,brushes her hair,
full of beer,I stare,at your empty chair,
sleepless night,whispering,among mosquitoes,
twilight,the cold medicine changes,from DayQuil to NyQuil,
approaching Harvard Square,I ignore the stranger,who wants to make friends,
the disk jockey,taps his foot,slightly off the beat,
clothed in purple,- sunset,
the waitress,now serving,spaghetti straps,
fighting for the phone,my children wish me,happy Father's Day,
reading,under the flashing neon light,one line at a time,
all day long,I sing the song,of the wind chimes,
Long Island Sound,the silence,of two ships passing,
July afternoon,sharing a lemon,with the sun,
memories of the beach,pouring,from my sneaker,
the old house,ivy vines encircle,a rusted swing set,
the night after Christmas,putting away,the less-favored toys,
Austin brewpub --,a patron orders,a cold sweaty blonde,
Christmas shopping,the long wait,between mouse clicks,
shortest day --,dinner candles,drowning in wax,
Wall Street reels,but there are plenty of acorns,in my backyard,
summer morning,the lingering haze,of too much beer,
temperature rising,the sundress gently slips,from her shoulder,
cool summer night ,the rise and fall ,of satin sheets,
examining my watch --,your smile,
weaving between,empty wine bottles,Christmas garland,
at happy hour,patrons and problems,line the bar,
unable to sleep,I turn on the fan,to drown out the silence,
moments before dawn,I finally sleep,to the music of rain,
New England blues club --,the businessman watches the blonde,go home with the biker,
the perfect Boston pub,where nobody,knows my name      ,
awake all night,your angry words,in the wind,
Cambridge brewpub --,MIT dropouts,engineer hangovers,
winter night,the hum,of the humidifier,
watching Casablanca,I grip your hand,tightly,
leaving Minnesota --,in my rear-view mirror,a shooting star,
on the answering machine,my children sing,Happy Birthday,
cold and overcast,wishing,it would finally rain,
sudden cloudburst --,the street puddles,join hands,
happily married couple,exchanging      ,email,
waiting for the bus,her miniskirt,and me,
cracked mirror --,my daughter reads,my lonely haiku,
after the debate,I vote,for another beer,
if she smiles at me,one more time,I'll just sit here :^),
busy squirrels,remind me,summer is almost gone,
repairing the fishing nets,her hair gently unfurls,
taking the early train,mist rises,from my coffee,
climbing the stairs,her tight black miniskirt,leaves me breathless,
thanks to the neighbors' door slams,I catch the sunrise,
spring in the air,approaching Wellesley Hills,she lets her hair down,
my old cotton robe,even softer,when she wears it,
running after my dog,I am no longer young...,
approaching storm ,shadows flee ,beneath the trembling trees,
Thursday morning hangover --,in the distance,a blues guitar,
calling my children: ,a long-distance overdose ,of Nickelodeon,
reading The Globe,he turns each page,before I finish,
midtown cemetery --,the pigeons,perfectly still,
this dark ale,slowly overshadows,my pain,
home after a rough day,even my cats stay away,
Copley Station,the accordion plays,Love Potion #9,
preparing to move,only my beer,remains unpacked,
summer tragedy --,her long silky hair,tied up in a bun,
when I finally fall asleep,the rain pauses,to gaze at the moon,
stepping from the shower,a freshly drawn heart,on the mirror,
summer snow ,an invasion ,of dandelion seeds,
clinging to my shoe,the season's,first brown leaf         ,
October morning,the sun is much too bright,without coffee,
Italian restaurant,now serving,spaghetti straps,
outdoor concert ,the sweltering heat ,of good salsa,
after the rain,even the construction cranes,sleep,
November night,stepping from the train,into a full moon,
artist's bedroom --,four bare walls,and a mattress,
the 10:05 train,counting the weary miles,between you and me,
curdled cream,and bitter coffee --,a fax from my attorney,
right on schedule,she passes me by,- summer girl,
caressing your fingertips,these fragile blossoms,
Cochituate twilight,a doe and fawn  ,scavenge for berries,
on-line again,writing these words,about the beautiful day,
cold and alone,in the eastern sky,millennium moon,
troubled sleep,a truck crashes,through an ice puddle,
after the storm,rainbows play,in street puddles,
halfway across the world,missing you,and the moon,
the leaves change color --,my older children,unable to visit,
sunset,reflected,in the laundromat window,
reflecting the moonlight,her black vinyl skirt,
at sunrise,a Harley races by,-- so fleeting,
two weeks later,all that's left,is a withered rose,
city crosswalk,all eyes,on her miniskirt,
unable to write ,unwilling to drink ,this cool white Russian ,
Dupont Circle --,a young man banging cans,for money,
DC tavern --,environmentalists,belch,
Union Station --,the deep dark shine,of a prostitute's boots,
the umpire's bad call --,a rotten peanut,at the bottom of the bag,
summer drizzle --,a cat sleeps,undisturbed,
another birthday,another six pack,shared with my cats,
high above Times Square,tourists photograph,the falling scaffolding,
across the bar from me,a blind date,stumbles,
obstructing my view,her head,on his shoulder,
dressed for the storm,a mannequin stands vigil,over snowswept streets,
New England suburb,the old church's,white vinyl siding,
waiting for the train,so many shades of orange,in the maple tree,
autumn night,not nearly enough,stars to count,
winter rush hour --,brake lights bleed,through clouds of exhaust,
folding my pizza,olive oil presses,my wrinkled shirt,
watching Jackie Chan,I kick at my shadow,and miss,
6th and Wabasha --,waiting with ghosts,for a taxicab,
my half-empty bed --,still giving you,plenty of space...,
